row_number,status,review_comment,raw_line,columns_count,parsed_service,parsed_test,parsed_biomaterial,parsed_unit,parsed_method
1,skipped_header,,"Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,Метод исследования (указывается при необходимости),Раздел,Подраздел,Синонимы русский,Синонимы английский",14,Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Метод исследования (указывается при необходимости)
292,needs_review,unit_conflict_for_same_test_context,",Клиренс эндогенного креатинина,,мл/мин/1,73 м2,60,,18-90 лет,,,Расчетный,,,,",14,Клиренс креатинина расчетный (CKD-EPI),Клиренс эндогенного креатинина,Сыв-ка крови,"мл/мин/1,73 м2",Расчетный
724,needs_review,unit_conflict_for_same_test_context,",,Кровь венозная с ЭДТА,(%),44.0,72.0,Дети (0 – 2 дня),,,,,,,",14,Общий анализ крови,Гемоглобин (Hb),Кровь венозная с ЭДТА,(%),Лазеро-оптический метод и количественная капиллярная фотометрия
